zone_id,lat,lon,elevation,timestamp,ndvi,ndbi,bsi,nightlight
zone_0002,24.5,72.576923,287,2020-09,0.283968,0.097412,0.121264,0.21
zone_0002,24.5,72.576923,287,2020-10,0.309598,0.147438,0.199044,0.41
zone_0002,24.5,72.576923,287,2020-11,0.466465,0.039828,0.102544,0.43
zone_0002,24.5,72.576923,287,2020-12,0.703359,-0.18587,-0.131541,0.32
zone_0002,24.5,72.576923,287,2021-01,0.725215,-0.231298,-0.17043,0.25
zone_0002,24.5,72.576923,287,2021-02,0.605943,-0.121225,-0.048376,0.29
zone_0002,24.5,72.576923,287,2021-03,0.314237,0.064546,0.142149,0.4
zone_0002,24.5,72.576923,287,2021-04,0.201462,0.162977,0.219458,0.46
zone_0002,24.5,72.576923,287,2021-05,0.172715,0.197644,0.24794,0.4
zone_0002,24.5,72.576923,287,2021-06,0.137067,0.217429,0.260868,0.39
zone_0002,24.5,72.576923,287,2021-07,0.099343,0.14009,0.127773,0.38
zone_0002,24.5,72.576923,287,2021-08,0.099343,0.14009,0.127773,0.38
zone_0002,24.5,72.576923,287,2021-09,0.099343,0.14009,0.127773,0.38
zone_0002,24.5,72.576923,287,2021-10,0.337028,0.015858,0.048596,0.5
zone_0002,24.5,72.576923,287,2021-11,0.212735,0.198679,0.242542,0.48
zone_0002,24.5,72.576923,287,2021-12,0.200273,0.173989,0.216494,0.44
zone_0002,24.5,72.576923,287,2022-01,0.2161,0.19087,0.239706,0.28
zone_0002,24.5,72.576923,287,2022-02,0.199229,0.177588,0.243087,0.34
zone_0002,24.5,72.576923,287,2022-03,0.17086,0.184038,0.251701,0.47
zone_0002,24.5,72.576923,287,2022-04,0.156121,0.184446,0.249978,0.51
zone_0002,24.5,72.576923,287,2022-05,0.138744,0.180223,0.248789,0.49
zone_0002,24.5,72.576923,287,2022-06,0.145588,0.18221,0.244784,0.43
zone_0002,24.5,72.576923,287,2022-07,0.145588,0.18221,0.244784,0.43
zone_0002,24.5,72.576923,287,2022-08,0.145588,0.18221,0.244784,0.43
zone_0002,24.5,72.576923,287,2022-09,0.237162,0.151392,0.204689,0.82
zone_0002,24.5,72.576923,287,2022-10,0.285131,0.15947,0.21286,0.61
zone_0002,24.5,72.576923,287,2022-11,0.34674,0.137705,0.200354,0.35
zone_0002,24.5,72.576923,287,2022-12,0.443708,0.065314,0.135212,0.41
zone_0002,24.5,72.576923,287,2023-01,0.465164,-0.015659,0.062689,0.36
zone_0002,24.5,72.576923,287,2023-02,0.451833,-0.004486,0.074292,0.41
zone_0002,24.5,72.576923,287,2023-03,0.310145,0.092803,0.165745,0.39
zone_0002,24.5,72.576923,287,2023-04,0.253523,0.127683,0.199573,0.59
zone_0002,24.5,72.576923,287,2023-05,0.160637,0.219305,0.272795,0.57
zone_0002,24.5,72.576923,287,2023-06,0.157587,0.188794,0.259128,0.47
zone_0002,24.5,72.576923,287,2023-07,0.157587,0.188794,0.259128,0.47
zone_0002,24.5,72.576923,287,2023-08,0.157587,0.188794,0.259128,0.47
zone_0002,24.5,72.576923,287,2023-09,0.525061,-0.085275,-0.016223,0.62
zone_0002,24.5,72.576923,287,2023-10,0.469341,0.065183,0.094803,0.58
zone_0002,24.5,72.576923,287,2023-11,0.272168,0.203527,0.230451,0.54
zone_0002,24.5,72.576923,287,2023-12,0.2255,0.252055,0.285496,0.37
zone_0002,24.5,72.576923,287,2024-01,0.217018,0.226197,0.274025,0.32
zone_0002,24.5,72.576923,287,2024-02,0.189259,0.228086,0.291356,0.34
zone_0002,24.5,72.576923,287,2024-03,0.175819,0.208173,0.265164,0.56
zone_0002,24.5,72.576923,287,2024-04,0.163046,0.212381,0.267002,0.55
zone_0002,24.5,72.576923,287,2024-05,0.157585,0.210936,0.26221,0.58
zone_0002,24.5,72.576923,287,2024-06,0.127852,0.200244,0.241801,0.67
zone_0002,24.5,72.576923,287,2024-07,0.127852,0.200244,0.241801,0.67
zone_0002,24.5,72.576923,287,2024-08,0.127852,0.200244,0.241801,0.67
zone_0002,24.5,72.576923,287,2024-09,0.320285,0.164414,0.219372,0.48
zone_0002,24.5,72.576923,287,2024-10,0.388808,0.073784,0.135624,0.59
zone_0002,24.5,72.576923,287,2024-11,0.634182,-0.135154,-0.074674,0.51
zone_0002,24.5,72.576923,287,2024-12,0.638339,-0.160653,-0.090626,0.46
zone_0002,24.5,72.576923,287,2025-01,0.552114,-0.083829,-0.004836,0.48
zone_0002,24.5,72.576923,287,2025-02,0.455317,-0.001081,0.072225,0.51
zone_0002,24.5,72.576923,287,2025-03,0.252202,0.130289,0.193186,0.49
zone_0002,24.5,72.576923,287,2025-04,0.189906,0.157811,0.219094,0.59
zone_0002,24.5,72.576923,287,2025-05,0.160933,0.184901,0.24462,0.68
zone_0002,24.5,72.576923,287,2025-06,0.145983,0.175653,0.23401,0.7
zone_0002,24.5,72.576923,287,2025-07,0.145983,0.175653,0.23401,0.7
zone_0002,24.5,72.576923,287,2025-08,0.145983,0.175653,0.23401,0.7
zone_0002,24.5,72.576923,287,2025-09,0.145983,0.175653,0.23401,0.7
zone_0002,24.5,72.576923,287,2025-10,0.412448,0.037595,0.102528,0.58
zone_0002,24.5,72.576923,287,2025-11,0.287813,0.161326,0.184591,0.43
zone_0002,24.5,72.576923,287,2025-12,0.225947,0.190085,0.237574,0.36
zone_0003,24.5,72.653846,243,2019-01,0.429836,0.081003,0.12432,0.26
zone_0003,24.5,72.653846,243,2019-02,0.319369,0.141658,0.174407,0.33
zone_0003,24.5,72.653846,243,2019-03,0.236538,0.162094,0.20153,0.43
zone_0003,24.5,72.653846,243,2019-04,0.185926,0.190523,0.225464,0.48
zone_0003,24.5,72.653846,243,2019-05,0.159679,0.205736,0.226623,0.52
zone_0003,24.5,72.653846,243,2019-06,0.149101,0.208716,0.228612,0.42
zone_0003,24.5,72.653846,243,2019-07,0.480775,-0.025541,0.008235,0.31
zone_0003,24.5,72.653846,243,2019-08,0.480775,-0.025541,0.008235,0.31
zone_0003,24.5,72.653846,243,2019-09,0.33678,0.081941,0.116704,0.53
zone_0003,24.5,72.653846,243,2019-10,0.525024,-0.033499,0.002861,0.39
zone_0003,24.5,72.653846,243,2019-11,0.554396,-0.013493,0.005085,0.36
zone_0003,24.5,72.653846,243,2019-12,0.823449,-0.352189,-0.308244,0.24
zone_0003,24.5,72.653846,243,2020-01,0.814785,-0.405914,-0.359614,0.25
zone_0003,24.5,72.653846,243,2020-02,0.829297,-0.430732,-0.377451,0.42
zone_0003,24.5,72.653846,243,2020-03,0.635984,-0.212336,-0.142281,0.42
zone_0003,24.5,72.653846,243,2020-04,0.503235,0.032787,0.065655,0.51
zone_0003,24.5,72.653846,243,2020-05,0.313352,0.135442,0.155633,0.47
zone_0003,24.5,72.653846,243,2020-06,0.321608,0.110263,0.148996,0.41
zone_0003,24.5,72.653846,243,2020-07,0.392959,0.02599,0.058668,0.3
zone_0003,24.5,72.653846,243,2020-08,0.392959,0.02599,0.058668,0.3
zone_0003,24.5,72.653846,243,2020-09,0.55906,-0.098679,-0.049951,0.56
zone_0003,24.5,72.653846,243,2020-10,0.479553,0.0169,0.057751,0.37
zone_0003,24.5,72.653846,243,2020-11,0.300653,0.153334,0.171703,0.53
zone_0003,24.5,72.653846,243,2020-12,0.739998,-0.284785,-0.237824,0.37
zone_0003,24.5,72.653846,243,2021-01,0.823632,-0.395099,-0.340631,0.32
zone_0003,24.5,72.653846,243,2021-02,0.766389,-0.362279,-0.293651,0.38
zone_0003,24.5,72.653846,243,2021-03,0.408445,-0.093905,0.0169,0.43
zone_0003,24.5,72.653846,243,2021-04,0.225402,0.08807,0.141805,0.5
zone_0003,24.5,72.653846,243,2021-05,0.186128,0.151604,0.179109,0.49
zone_0003,24.5,72.653846,243,2021-06,0.208641,0.16308,0.180147,0.53
zone_0003,24.5,72.653846,243,2021-07,0.305982,0.10237,0.118733,0.44
zone_0003,24.5,72.653846,243,2021-08,0.305982,0.10237,0.118733,0.44
zone_0003,24.5,72.653846,243,2021-09,0.305982,0.10237,0.118733,0.44
zone_0003,24.5,72.653846,243,2021-10,0.509356,-0.038415,0.021848,0.51
zone_0003,24.5,72.653846,243,2021-11,0.449621,-0.058037,0.014987,0.48
zone_0003,24.5,72.653846,243,2021-12,0.678409,-0.273989,-0.225785,0.46
zone_0003,24.5,72.653846,243,2022-01,0.842905,-0.404052,-0.362267,0.37
zone_0003,24.5,72.653846,243,2022-02,0.819315,-0.401978,-0.33959,0.4
zone_0003,24.5,72.653846,243,2022-03,0.399781,-0.007462,0.093045,0.55
zone_0003,24.5,72.653846,243,2022-04,0.200989,0.125521,0.183182,0.7
zone_0003,24.5,72.653846,243,2022-05,0.201901,0.16956,0.209542,0.58
zone_0003,24.5,72.653846,243,2022-06,0.156975,0.201264,0.226687,0.65
zone_0003,24.5,72.653846,243,2022-07,0.156975,0.201264,0.226687,0.65
zone_0003,24.5,72.653846,243,2022-08,0.156975,0.201264,0.226687,0.65
zone_0003,24.5,72.653846,243,2022-09,0.156975,0.201264,0.226687,0.65
zone_0003,24.5,72.653846,243,2022-10,0.251409,0.184173,0.203626,0.52
zone_0003,24.5,72.653846,243,2022-11,0.310137,0.128185,0.161753,0.35
zone_0003,24.5,72.653846,243,2022-12,0.714188,-0.244692,-0.189094,0.64
zone_0003,24.5,72.653846,243,2023-01,0.836797,-0.44314,-0.389345,0.32
zone_0003,24.5,72.653846,243,2023-02,0.805834,-0.268218,-0.222032,0.46
zone_0003,24.5,72.653846,243,2023-03,0.417894,0.068622,0.129612,0.52
zone_0003,24.5,72.653846,243,2023-04,0.242183,0.086354,0.128467,0.57
zone_0003,24.5,72.653846,243,2023-05,0.206068,0.106748,0.150361,0.74
zone_0003,24.5,72.653846,243,2023-06,0.228352,0.178542,0.201217,0.79
zone_0003,24.5,72.653846,243,2023-07,0.228352,0.178542,0.201217,0.79
zone_0003,24.5,72.653846,243,2023-08,0.228352,0.178542,0.201217,0.79
zone_0003,24.5,72.653846,243,2023-09,0.443701,-0.03016,0.017355,0.54
zone_0003,24.5,72.653846,243,2023-10,0.472066,-0.010638,0.029353,0.6
zone_0003,24.5,72.653846,243,2023-11,0.315919,0.093327,0.135645,0.57
zone_0003,24.5,72.653846,243,2023-12,0.554574,-0.085693,-0.019749,0.44
zone_0003,24.5,72.653846,243,2024-01,0.83701,-0.439161,-0.389679,0.43
zone_0003,24.5,72.653846,243,2024-02,0.849039,-0.380795,-0.336846,0.43
zone_0003,24.5,72.653846,243,2024-03,0.47952,-0.05231,0.019446,0.61
zone_0003,24.5,72.653846,243,2024-04,0.227385,0.125659,0.175737,0.63
zone_0003,24.5,72.653846,243,2024-05,0.28524,0.149853,0.176225,0.59
zone_0003,24.5,72.653846,243,2024-06,0.48668,0.005742,0.046264,0.69
zone_0003,24.5,72.653846,243,2024-07,0.48668,0.005742,0.046264,0.69
zone_0003,24.5,72.653846,243,2024-08,0.48668,0.005742,0.046264,0.69
zone_0003,24.5,72.653846,243,2024-09,0.517245,-0.043345,0.010671,0.58
zone_0003,24.5,72.653846,243,2024-10,0.533937,-0.047043,-0.004938,0.63
zone_0003,24.5,72.653846,243,2024-11,0.411174,0.067695,0.100508,0.56
zone_0003,24.5,72.653846,243,2024-12,0.531536,-0.139694,-0.073021,0.55
zone_0003,24.5,72.653846,243,2025-01,0.85154,-0.476216,-0.426883,0.53
zone_0003,24.5,72.653846,243,2025-02,0.843762,-0.47104,-0.413965,0.71
zone_0003,24.5,72.653846,243,2025-03,0.423282,-0.011517,0.062217,0.59
zone_0003,24.5,72.653846,243,2025-04,0.31075,0.081815,0.130833,0.79
zone_0003,24.5,72.653846,243,2025-05,0.474836,0.008197,0.050704,0.64
zone_0003,24.5,72.653846,243,2025-06,0.576151,-0.057784,-0.004337,0.7
zone_0003,24.5,72.653846,243,2025-07,0.576151,-0.057784,-0.004337,0.7
zone_0003,24.5,72.653846,243,2025-08,0.576151,-0.057784,-0.004337,0.7
zone_0003,24.5,72.653846,243,2025-09,0.576151,-0.057784,-0.004337,0.7
zone_0003,24.5,72.653846,243,2025-10,0.317313,0.119824,0.149108,0.54
zone_0003,24.5,72.653846,243,2025-11,0.529543,-0.215235,-0.165894,0.55
zone_0003,24.5,72.653846,243,2025-12,0.836556,-0.460171,-0.40093,0.61
zone_0004,24.5,72.730769,253,2019-01,0.790821,-0.280255,-0.237476,0.33
zone_0004,24.5,72.730769,253,2019-02,0.819363,-0.371555,-0.318246,0.57
zone_0004,24.5,72.730769,253,2019-03,0.726769,-0.307265,-0.246995,0.63
zone_0004,24.5,72.730769,253,2019-04,0.441603,0.077885,0.137357,0.64
zone_0004,24.5,72.730769,253,2019-05,0.315859,0.123583,0.165072,0.59
zone_0004,24.5,72.730769,253,2019-06,0.273416,0.139965,0.176942,0.63
zone_0004,24.5,72.730769,253,2019-07,0.536661,-0.051513,-0.026131,0.4
zone_0004,24.5,72.730769,253,2019-08,0.536661,-0.051513,-0.026131,0.4
zone_0004,24.5,72.730769,253,2019-09,0.712281,-0.079851,-0.05523,0.58
zone_0004,24.5,72.730769,253,2019-10,0.503542,0.119887,0.133483,0.5
zone_0004,24.5,72.730769,253,2019-11,0.45439,0.008056,0.009599,0.52
zone_0004,24.5,72.730769,253,2019-12,0.820053,-0.303283,-0.257486,0.32
zone_0004,24.5,72.730769,253,2020-01,0.819345,-0.376039,-0.32311,0.32
zone_0004,24.5,72.730769,253,2020-02,0.829164,-0.355761,-0.310035,0.61
zone_0004,24.5,72.730769,253,2020-03,0.636488,-0.151622,-0.093055,0.67
zone_0004,24.5,72.730769,253,2020-04,0.472441,0.021013,0.0724,0.72
zone_0004,24.5,72.730769,253,2020-05,0.445434,0.051384,0.093401,0.61
zone_0004,24.5,72.730769,253,2020-06,0.348112,0.108527,0.140277,0.63
zone_0004,24.5,72.730769,253,2020-07,0.443414,0.016628,0.057416,0.56
zone_0004,24.5,72.730769,253,2020-08,0.443414,0.016628,0.057416,0.56
zone_0004,24.5,72.730769,253,2020-09,0.753775,-0.242355,-0.206001,0.67
zone_0004,24.5,72.730769,253,2020-10,0.644263,-0.008445,0.018574,0.55
zone_0004,24.5,72.730769,253,2020-11,0.530413,0.101803,0.131675,0.6
zone_0004,24.5,72.730769,253,2020-12,0.585328,0.061238,0.063571,0.59
zone_0004,24.5,72.730769,253,2021-01,0.846204,-0.309597,-0.279827,0.47
zone_0004,24.5,72.730769,253,2021-02,0.87371,-0.445974,-0.402224,0.63
zone_0004,24.5,72.730769,253,2021-03,0.744113,-0.305516,-0.235473,0.58
zone_0004,24.5,72.730769,253,2021-04,0.335778,0.071133,0.117124,0.74
zone_0004,24.5,72.730769,253,2021-05,0.264332,0.107875,0.157941,0.58
zone_0004,24.5,72.730769,253,2021-06,0.25639,0.120385,0.162396,0.68
zone_0004,24.5,72.730769,253,2021-07,0.337188,0.10326,0.120694,0.5
zone_0004,24.5,72.730769,253,2021-08,0.337188,0.10326,0.120694,0.5
zone_0004,24.5,72.730769,253,2021-09,0.337188,0.10326,0.120694,0.5
zone_0004,24.5,72.730769,253,2021-10,0.807646,-0.196863,-0.167866,0.67
zone_0004,24.5,72.730769,253,2021-11,0.783683,-0.207099,-0.167213,0.72
zone_0004,24.5,72.730769,253,2021-12,0.813363,-0.227678,-0.191568,0.62
zone_0004,24.5,72.730769,253,2022-01,0.824217,-0.359445,-0.321709,0.56
zone_0004,24.5,72.730769,253,2022-02,0.838163,-0.36735,-0.315008,0.59
zone_0004,24.5,72.730769,253,2022-03,0.756019,-0.281493,-0.226463,0.79
zone_0004,24.5,72.730769,253,2022-04,0.630395,-0.099034,-0.034738,0.79
zone_0004,24.5,72.730769,253,2022-05,0.380934,0.069993,0.132866,0.92
zone_0004,24.5,72.730769,253,2022-06,0.310865,0.16661,0.224702,0.78
zone_0004,24.5,72.730769,253,2022-07,0.310865,0.16661,0.224702,0.78
zone_0004,24.5,72.730769,253,2022-08,0.310865,0.16661,0.224702,0.78
zone_0004,24.5,72.730769,253,2022-09,0.386901,0.189864,0.206021,0.72
zone_0004,24.5,72.730769,253,2022-10,0.562922,0.030181,0.066898,0.68
zone_0004,24.5,72.730769,253,2022-11,0.549928,0.076777,0.10684,0.49
zone_0004,24.5,72.730769,253,2022-12,0.656918,-0.013836,0.025059,0.57
zone_0004,24.5,72.730769,253,2023-01,0.752791,-0.229477,-0.167549,0.48
zone_0004,24.5,72.730769,253,2023-02,0.838195,-0.354033,-0.296527,0.56
zone_0004,24.5,72.730769,253,2023-03,0.70599,-0.169587,-0.113848,0.74
zone_0004,24.5,72.730769,253,2023-04,0.48946,0.08475,0.122871,0.77
zone_0004,24.5,72.730769,253,2023-05,0.415665,0.094835,0.138367,0.76
zone_0004,24.5,72.730769,253,2023-06,0.435394,0.070101,0.11718,0.8
zone_0004,24.5,72.730769,253,2023-07,0.435394,0.070101,0.11718,0.8
zone_0004,24.5,72.730769,253,2023-08,0.435394,0.070101,0.11718,0.8
zone_0004,24.5,72.730769,253,2023-09,0.685666,-0.106646,-0.058582,0.61
zone_0004,24.5,72.730769,253,2023-10,0.602067,0.027198,0.046747,0.85
zone_0004,24.5,72.730769,253,2023-11,0.448832,0.036553,0.063547,0.93
zone_0004,24.5,72.730769,253,2023-12,0.658717,-0.021076,0.006254,0.62
zone_0004,24.5,72.730769,253,2024-01,0.7718,-0.283082,-0.226995,0.52
zone_0004,24.5,72.730769,253,2024-02,0.828597,-0.372427,-0.328106,0.57
zone_0004,24.5,72.730769,253,2024-03,0.734714,-0.264766,-0.207205,0.85
zone_0004,24.5,72.730769,253,2024-04,0.456356,0.094942,0.137574,0.93
zone_0004,24.5,72.730769,253,2024-05,0.401639,0.082383,0.128572,0.75
zone_0004,24.5,72.730769,253,2024-06,0.408084,0.028296,0.0899,0.94
zone_0004,24.5,72.730769,253,2024-07,0.408084,0.028296,0.0899,0.94
zone_0004,24.5,72.730769,253,2024-08,0.408084,0.028296,0.0899,0.94
zone_0004,24.5,72.730769,253,2024-09,0.43647,0.135694,0.158503,0.84
zone_0004,24.5,72.730769,253,2024-10,0.456929,0.101798,0.115532,0.81
zone_0004,24.5,72.730769,253,2024-11,0.56832,0.045964,0.074738,0.86
zone_0004,24.5,72.730769,253,2024-12,0.684421,-0.082921,-0.043329,0.72
zone_0004,24.5,72.730769,253,2025-01,0.764437,-0.294471,-0.249619,0.69
zone_0004,24.5,72.730769,253,2025-02,0.767542,-0.269109,-0.201234,0.65
zone_0004,24.5,72.730769,253,2025-03,0.679225,-0.14894,-0.091745,0.79
zone_0004,24.5,72.730769,253,2025-04,0.552482,0.032043,0.072874,1.02
zone_0004,24.5,72.730769,253,2025-05,0.48936,0.021485,0.066823,0.96
zone_0004,24.5,72.730769,253,2025-06,0.454989,0.063325,0.131912,0.93
zone_0004,24.5,72.730769,253,2025-07,0.454989,0.063325,0.131912,0.93
zone_0004,24.5,72.730769,253,2025-08,0.454989,0.063325,0.131912,0.93
zone_0004,24.5,72.730769,253,2025-09,0.454989,0.063325,0.131912,0.93
zone_0004,24.5,72.730769,253,2025-10,0.462322,0.105188,0.132,1.05
zone_0004,24.5,72.730769,253,2025-11,0.705976,-0.197806,-0.1534,0.56
